SciLifeID;species;sample;treatment.1;treatment;date;plot;plot.1
P1169_139;Spruce;Needles;C_0605;Control;Early_June;6A;C3
P1169_140;Spruce;Needles;C_0624;Control;Late_June;6A;C1
P1169_141;Spruce;Needles;C_0624;Control;Late_June;6A;C2
P1169_142;Spruce;Needles;C_0624;Control;Late_June;6A;C3
P1169_143;Spruce;Needles;C_0806;Control;August;6A;C1
P1169_144;Spruce;Needles;C_0806;Control;August;6A;C2
P1169_145;Spruce;Needles;C_0806;Control;August;6A;C3
P1169_146;Spruce;Needles;C_1009;Control;October;6A;C1
P1169_147;Spruce;Needles;C_1009;Control;October;6A;C2
P1169_148;Spruce;Needles;C_1009;Control;October;6A;C3
P1169_149;Spruce;Needles;N_0605;25_year;Early_June;7A;N1
P1169_150;Spruce;Needles;N_0605;25_year;Early_June;7A;N2
P1169_151;Spruce;Needles;N_0605;25_year;Early_June;7A;N3
P1169_152;Spruce;Needles;N_0624;25_year;Late_June;7A;N1
P1169_153;Spruce;Needles;N_0624;25_year;Late_June;7A;N2
P1169_154;Spruce;Needles;N_0624;25_year;Late_June;7A;N3
P1169_155;Spruce;Needles;N_0806;25_year;August;7A;N1
P1169_156;Spruce;Needles;N_0806;25_year;August;7A;N2
P1169_157;Spruce;Needles;N_0806;25_year;August;7A;N3
P1169_158;Spruce;Needles;N_1009;25_year;October;7A;N1
P1169_159;Spruce;Needles;N_1009;25_year;October;7A;N2
P1169_160;Spruce;Needles;N_1009;25_year;October;7A;N3
P1169_161;Spruce;Needles;I_0605;5_year;Early_June;12B;I1
P1169_162;Spruce;Needles;I_0605;5_year;Early_June;12B;I2
P1169_163;Spruce;Needles;I_0605;5_year;Early_June;12B;I3
P1169_164;Spruce;Needles;I_0624;5_year;Late_June;12B;I1
P1169_165;Spruce;Needles;I_0624;5_year;Late_June;12B;I2
P1169_166;Spruce;Needles;I_0624;5_year;Late_June;12B;I3
P1169_167;Spruce;Needles;I_0806;5_year;August;12B;I1
P1169_168;Spruce;Needles;I_0806;5_year;August;12B;I2
P1169_169;Spruce;Needles;I_0806;5_year;August;12B;I3
P1169_170;Spruce;Needles;I_1009;5_year;October;12B;I1
P1169_171;Spruce;Needles;I_1009;5_year;October;12B;I2
P1169_172;Spruce;Needles;I_1009;5_year;October;12B;I3
P1169_173;Spruce;Needles;N_0605;25_year;Early_June;13B;N1
P1169_174;Spruce;Needles;N_0605;25_year;Early_June;13B;N2
P1169_175;Spruce;Needles;N_0605;25_year;Early_June;13B;N3
P1169_176;Spruce;Needles;N_0624;25_year;Late_June;13B;N1
P1169_177;Spruce;Needles;N_0624;25_year;Late_June;13B;N2
P1169_179;Spruce;Needles;N_0806;25_year;August;13A;N1
P1169_181;Spruce;Needles;N_0806;25_year;August;13A;N3
P1169_182;Spruce;Needles;N_1009;25_year;October;13B;N1
P1169_183;Spruce;Needles;N_1009;25_year;October;13B;N2
P1169_184;Spruce;Needles;N_1009;25_year;October;13B;N3
P1169_185;Spruce;Needles;C_0605;Control;Early_June;14A;C1
P1169_186;Spruce;Needles;C_0605;Control;Early_June;14A;C2
P1169_187;Spruce;Needles;C_0605;Control;Early_June;14A;C3
P1169_188;Spruce;Needles;C_0624;Control;Late_June;14A;C1
P1169_189;Spruce;Needles;C_0624;Control;Late_June;14A;C2
P1169_190;Spruce;Needles;C_0624;Control;Late_June;14A;C3
P1169_191;Spruce;Needles;C_0806;Control;August;14A;C1
P1169_192;Spruce;Needles;C_0806;Control;August;14A;C2
P1169_193;Spruce;Needles;C_0806;Control;August;14A;C3
P1169_194;Spruce;Needles;C_1009;Control;October;14A;C1
P1169_195;Spruce;Needles;C_1009;Control;October;14A;C2
P1169_196;Spruce;Needles;C_1009;Control;October;14A;C3
P1169_201;Spruce;Needles;I_0605;5_year;Early_June;16B;I1
P1169_202;Spruce;Needles;I_0605;5_year;Early_June;16B;I2
P1169_203;Spruce;Needles;I_0605;5_year;Early_June;16B;I3
P1169_204;Spruce;Needles;I_0624;5_year;Late_June;16B;I1
P1169_205;Spruce;Needles;I_0624;5_year;Late_June;16B;I2
P1169_206;Spruce;Needles;I_0624;5_year;Late_June;16B;I3
P1169_207;Spruce;Needles;I_0806;5_year;August;16B;I1
P1169_208;Spruce;Needles;I_0806;5_year;August;16B;I2
P1169_209;Spruce;Needles;I_0806;5_year;August;16B;I3
P1169_210;Spruce;Needles;I_1009;5_year;October;16B;I1
P1169_211;Spruce;Needles;I_1009;5_year;October;16B;I2
P1169_212;Spruce;Needles;I_1009;5_year;October;16B;I3
P1798_167;Spruce;Needles;I_0806;5_year;August;12B;I1
P1798_178;Spruce;Needles;N_0624;25_year;Late_June;13B;N3
